epoch,global_step,pe_gate_mode,ds_active_ratio,sd_active_ratio,ds_mean,sd_mean,ds_median,sd_median,ds_sum,sd_sum,teacher_gt_middle_ds_count,middle_ge_teacher_ds_count,teacher_gt_middle_sd_count,middle_ge_teacher_sd_count,pair_infonce_temperature,l_pe_ds,l_pe_sd,l_pe_lcrd,ds_z_advantage_median,sd_z_advantage_median,raw_vs_standardized_ds_sign_agreement,raw_vs_standardized_sd_sign_agreement,raw_vs_standardized_ds_correlation,raw_vs_standardized_sd_correlation
1,1,STANDARDIZED_RESIDUAL,1.0,1.0,5.110829830169678,5.574420928955078,5.2295684814453125,5.418640613555908,163.5465545654297,178.3814697265625,14,2,14,2,0.0703125,0.5080056190490723,0.5719268321990967,0.5399662256240845,5.2295684814453125,5.418640613555908,0.90625,0.90625,0.5408316254615784,0.6164757013320923
1,2,STANDARDIZED_RESIDUAL,1.0,1.0,4.525948524475098,5.332817077636719,4.416615962982178,4.906554222106934,144.83035278320312,170.650146484375,14,2,14,2,0.0703125,0.6091458797454834,0.6848755478858948,0.6470106840133667,4.416615962982178,4.906554222106934,0.875,0.875,0.2010783702135086,0.689027726650238
1,3,STANDARDIZED_RESIDUAL,1.0,1.0,5.494314193725586,5.893244743347168,5.565002918243408,5.7774858474731445,175.81805419921875,188.58383178710938,14,2,14,2,0.0703125,0.5136159658432007,0.5927923917770386,0.5532041788101196,5.565002918243408,5.7774858474731445,0.875,0.875,0.577853798866272,0.7467374205589294
1,4,STANDARDIZED_RESIDUAL,1.0,1.0,5.382137298583984,6.001644134521484,5.058141231536865,6.019603729248047,172.2283935546875,192.0526123046875,16,0,16,0,0.0703125,0.5642608404159546,0.6058304905891418,0.5850456953048706,5.058141231536865,6.019603729248047,0.9375,0.9375,0.31438198685646057,0.4777573347091675
1,5,STANDARDIZED_RESIDUAL,1.0,1.0,5.4370832443237305,6.293401718139648,5.641808986663818,6.015346050262451,173.98666381835938,201.38885498046875,14,2,14,2,0.0703125,0.5872510075569153,0.611581027507782,0.5994160175323486,5.641808986663818,6.015346050262451,0.84375,0.84375,0.0956597700715065,0.31983935832977295
1,6,STANDARDIZED_RESIDUAL,1.0,1.0,4.797335624694824,5.372717380523682,4.662483215332031,5.136546611785889,153.51473999023438,171.9269561767578,13,3,13,3,0.0703125,0.5738545060157776,0.6320704817771912,0.6029624938964844,4.662483215332031,5.136546611785889,0.84375,0.84375,0.3337755799293518,0.7165358662605286
1,7,STANDARDIZED_RESIDUAL,1.0,1.0,4.94172477722168,5.373115539550781,4.830315589904785,5.089115142822266,158.13519287109375,171.939697265625,13,3,13,3,0.0703125,0.5106623768806458,0.5961342453956604,0.5533983111381531,4.830315589904785,5.089115142822266,0.84375,0.84375,0.29143232107162476,0.4977799952030182
1,8,STANDARDIZED_RESIDUAL,1.0,1.0,5.254955768585205,5.807380676269531,5.352323532104492,5.275335311889648,168.15858459472656,185.836181640625,15,1,15,1,0.0703125,0.5732083320617676,0.6705818176269531,0.6218950748443604,5.352323532104492,5.275335311889648,0.9375,0.9375,0.25728869438171387,0.37715867161750793
1,9,STANDARDIZED_RESIDUAL,1.0,1.0,4.885612487792969,4.966731071472168,4.942253589630127,4.2640581130981445,156.339599609375,158.93539428710938,14,2,14,2,0.0703125,0.566432535648346,0.5986315011978149,0.5825320482254028,4.942253589630127,4.2640581130981445,0.875,0.875,0.5602238774299622,0.5769050121307373
1,10,STANDARDIZED_RESIDUAL,1.0,1.0,5.213807106018066,5.722579002380371,4.621602535247803,5.217520236968994,166.84182739257812,183.12252807617188,13,3,13,3,0.0703125,0.5682650804519653,0.6435617208480835,0.6059134006500244,4.621602535247803,5.217520236968994,0.78125,0.78125,0.49854227900505066,0.7497934103012085
