epoch,global_step,total_update_grad_norm,gradient_norm_source,lcrd_component_gradient_source
1,1,18.51793098449707,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,2,17.051172256469727,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,3,16.71497344970703,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,4,20.14975929260254,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,5,19.03527069091797,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,6,20.922046661376953,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,7,18.858407974243164,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,8,20.602033615112305,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,9,17.232891082763672,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,10,20.999258041381836,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,11,21.242431640625,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,12,18.92046356201172,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,13,18.37009620666504,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,14,20.921010971069336,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,15,20.78102684020996,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,16,22.46135139465332,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,17,22.85209083557129,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,18,20.995281219482422,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,19,20.6380672454834,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,20,16.52165412902832,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,21,17.510854721069336,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,22,19.93465805053711,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,23,19.342430114746094,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,24,20.22933006286621,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,25,20.106935501098633,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,26,18.2413272857666,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,27,21.54450225830078,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,28,16.450298309326172,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,29,18.088335037231445,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,30,22.042543411254883,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,31,21.821557998657227,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
1,32,20.788833618164062,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
2,1183,2.085299491882324,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
3,2365,3.4059598445892334,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
4,3547,1.3535387516021729,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
5,4729,0.39803600311279297,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
6,5911,1.332383394241333,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
7,7093,0.4469597339630127,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
8,8275,0.5118228197097778,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
9,9457,0.46593448519706726,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
10,10639,0.5491071343421936,DeepSpeedZeroOptimizer._global_grad_norm_after_step,fixed_32_batch_preflight_calibration
