epoch,global_step,l_ds,l_sd,l_lcrd,weighted_lcrd,total_loss,finite_ratio
1,1,0.5080056190490723,0.5719268321990967,0.5399662256240845,0.44253677129745483,3.7916948795318604,1.0
1,2,0.6091458797454834,0.6848755478858948,0.6470106840133667,0.530266523361206,4.09999942779541,1.0
1,3,0.5136159658432007,0.5927923917770386,0.5532041788101196,0.453386127948761,4.001622200012207,1.0
1,4,0.5642608404159546,0.6058304905891418,0.5850456953048706,0.4794822633266449,3.985290765762329,1.0
1,5,0.5872510075569153,0.611581027507782,0.5994160175323486,0.4912596642971039,4.126692295074463,1.0
1,6,0.5738545060157776,0.6320704817771912,0.6029624938964844,0.49416622519493103,3.9108517169952393,1.0
1,7,0.5106623768806458,0.5961342453956604,0.5533983111381531,0.4535452127456665,3.804142951965332,1.0
1,8,0.5732083320617676,0.6705818176269531,0.6218950748443604,0.5096827149391174,3.613846778869629,1.0
1,9,0.566432535648346,0.5986315011978149,0.5825320482254028,0.47742217779159546,3.4334845542907715,1.0
1,10,0.5682650804519653,0.6435617208480835,0.6059134006500244,0.4965846836566925,4.16965389251709,1.0
1,11,0.49592599272727966,0.5696981549263,0.5328120589256287,0.43667349219322205,3.457622766494751,1.0
1,12,0.6599199175834656,0.7191396355628967,0.6895297765731812,0.5651136636734009,3.966339111328125,1.0
1,13,0.5820741653442383,0.6396788358688354,0.6108765006065369,0.5006522536277771,3.7077884674072266,1.0
1,14,0.5981397032737732,0.6973589062690735,0.6477493047714233,0.5308718681335449,4.044561386108398,1.0
1,15,0.6915259957313538,0.7180125713348389,0.7047692537307739,0.5776033997535706,3.8923676013946533,1.0
1,16,0.5827212929725647,0.6635473966598511,0.6231343746185303,0.5106983780860901,4.0918145179748535,1.0
1,17,0.5093767642974854,0.5645121932029724,0.5369445085525513,0.4400602877140045,4.042777061462402,1.0
1,18,0.6013195514678955,0.610112726688385,0.6057161092758179,0.49642300605773926,3.6128437519073486,1.0
1,19,0.552444577217102,0.6022226214408875,0.5773335695266724,0.4731616973876953,3.6709702014923096,1.0
1,20,0.6142372488975525,0.6967582106590271,0.6554977297782898,0.5372222065925598,3.7011303901672363,1.0
1,21,0.5304165482521057,0.5881180763244629,0.5592672824859619,0.45835521817207336,3.5003793239593506,1.0
1,22,0.5919716358184814,0.6338112354278564,0.612891435623169,0.5023036599159241,3.580253839492798,1.0
1,23,0.5455819964408875,0.6032946109771729,0.5744383335113525,0.4707888662815094,3.7226412296295166,1.0
1,24,0.5219857096672058,0.5928011536598206,0.5573934316635132,0.45681947469711304,3.863807439804077,1.0
1,25,0.5174901485443115,0.5950868725776672,0.556288480758667,0.4559139013290405,3.4736971855163574,1.0
1,26,0.5510903000831604,0.6114969849586487,0.5812936425209045,0.4764072299003601,3.4986886978149414,1.0
1,27,0.5112007260322571,0.546912431716919,0.5290565490722656,0.43359559774398804,3.829961061477661,1.0
1,28,0.5263380408287048,0.5703040957450867,0.5483210682868958,0.44938409328460693,3.6066765785217285,1.0
1,29,0.5555524230003357,0.6314616799354553,0.5935070514678955,0.48641690611839294,3.5047171115875244,1.0
1,30,0.5057881474494934,0.5629730224609375,0.5343805551528931,0.4379589557647705,3.5481443405151367,1.0
1,31,0.5711774826049805,0.6468614935874939,0.6090195178985596,0.49913036823272705,3.5807886123657227,1.0
1,32,0.5282546877861023,0.6092114448547363,0.5687330961227417,0.46611306071281433,4.059924125671387,1.0
2,1183,0.19759105145931244,0.21904927492141724,0.20832017064094543,0.17073167860507965,0.29340705275535583,1.0
3,2365,0.16596311330795288,0.16954220831394196,0.16775265336036682,0.13748399913311005,0.22345560789108276,1.0
4,3547,0.16683052480220795,0.1903812438249588,0.17860588431358337,0.14637891948223114,0.16604584455490112,1.0
5,4729,0.14952494204044342,0.17519007623195648,0.16235750913619995,0.13306233286857605,0.14246094226837158,1.0
6,5911,0.13798752427101135,0.16317550837993622,0.1505815088748932,0.1234111562371254,0.16096611320972443,1.0
7,7093,0.14304615557193756,0.15820437669754028,0.15062525868415833,0.1234470084309578,0.1321849822998047,1.0
8,8275,0.1393103003501892,0.1444147229194641,0.14186251163482666,0.11626537889242172,0.1262384057044983,1.0
9,9457,0.12068595737218857,0.133828267455101,0.1272571086883545,0.10429532080888748,0.1130809411406517,1.0
10,10639,0.15182623267173767,0.1590481698513031,0.15543720126152039,0.12739069759845734,0.1399967074394226,1.0
