rank_bucket,query_count,fraction_of_residual
rank2,215,0.6268221574344023
rank3-5,69,0.20116618075801748
rank6-10,27,0.07871720116618076
rank11-20,28,0.08163265306122448
rank>20,4,0.011661807580174927
