epoch,global_step,DS_active_ratio,SD_active_ratio,DS_gate_mean,SD_gate_mean,DS_M0,SD_M0,DS_mass_ratio,SD_mass_ratio,DS_linear_ratio,SD_linear_ratio,DS_SRMD_factor,SD_SRMD_factor,DS_L_RE,SD_L_RE,DS_L_RMD,SD_L_RMD
1,1,1.0,1.0,4.547652244567871,5.132684707641602,5.080983832478523,5.612510189414024,0.8950335383415222,0.9145076870918274,0.8950335383415222,0.9145076870918274,0.9460621476173401,0.9562989473342896,0.537468433380127,0.5883774161338806,0.5084785223007202,0.5626646876335144
1,2,1.0,1.0,4.528404235839844,4.864850044250488,5.080983832478523,5.612510189414024,0.8912453055381775,0.8667867183685303,0.8912453055381775,0.8667867183685303,0.9440578818321228,0.931013822555542,0.5609214305877686,0.6438408493995667,0.5295423269271851,0.5994247198104858
1,3,1.0,1.0,4.806551933288574,5.522692680358887,5.080983832478523,5.612510189414024,0.9459881782531738,0.9839967489242554,0.9459881782531738,0.9839967489242554,0.9726192355155945,0.9919661283493042,0.5662539601325989,0.6480395197868347,0.5507494807243347,0.6428332328796387
1,4,1.0,1.0,4.804825782775879,5.3595380783081055,5.080983832478523,5.612510189414024,0.9456484913825989,0.9549269080162048,0.9456484913825989,0.9549269080162048,0.9724445939064026,0.9772036075592041,0.5421323776245117,0.5870173573493958,0.5271937251091003,0.573635458946228
1,5,1.0,1.0,4.656883239746094,5.465882301330566,5.080983832478523,5.612510189414024,0.9165315628051758,0.9738746285438538,0.9165315628051758,0.9738746285438538,0.9573565721511841,0.9868508577346802,0.5473806858062744,0.5991408228874207,0.5240384936332703,0.5912626385688782
1,6,0.96875,1.0,4.765322685241699,5.4694600105285645,5.080983832478523,5.612510189414024,0.9378737807273865,0.9745121002197266,0.9378737807273865,0.9745121002197266,0.9684388637542725,0.9871737957000732,0.5691946148872375,0.6202254891395569,0.5512301921844482,0.6122703552246094
1,7,1.0,1.0,4.485748291015625,5.620620250701904,5.080983832478523,5.612510189414024,0.8828501105308533,1.0014448165893555,0.8828501105308533,1.0014448165893555,0.9396010637283325,1.0007221698760986,0.5452035665512085,0.5979247093200684,0.5122738480567932,0.5983564853668213
1,8,1.0,1.0,5.378554821014404,5.4382781982421875,5.080983832478523,5.612510189414024,1.058565378189087,0.9689562916755676,1.058565378189087,0.9689562916755676,1.0288660526275635,0.9843557476997375,0.541608989238739,0.5922214984893799,0.5572431087493896,0.5829566121101379
1,9,1.0,1.0,5.373724937438965,5.743729591369629,5.080983832478523,5.612510189414024,1.057614803314209,1.0233795642852783,1.057614803314209,1.0233795642852783,1.0284039974212646,1.0116221904754639,0.5733166933059692,0.6328736543655396,0.5896011590957642,0.6402290463447571
1,10,1.0,1.0,4.885583877563477,5.329172134399414,5.080983832478523,5.612510189414024,0.9615426659584045,0.9495165348052979,0.9615426659584045,0.9495165348052979,0.9805828332901001,0.9744313955307007,0.5853768587112427,0.6534650325775146,0.5740104913711548,0.6367568373680115
