epoch,global_step,DS_active_ratio,SD_active_ratio,DS_gate_mean,SD_gate_mean,DS_M0,SD_M0,DS_mass_ratio,SD_mass_ratio,DS_L_RE,SD_L_RE,DS_L_RMD,SD_L_RMD
1,1,1.0,1.0,4.578015327453613,5.146446704864502,5.080983832478523,5.612510189414024,0.9010093808174133,0.9169597029685974,0.5505672693252563,0.6044304370880127,0.49606627225875854,0.5542383790016174
1,2,1.0,1.0,4.48336124420166,4.885967254638672,5.080983832478523,5.612510189414024,0.8823803067207336,0.870549201965332,0.564202606678009,0.646614670753479,0.4978412687778473,0.5629099011421204
1,3,1.0,1.0,4.787837505340576,5.504685401916504,5.080983832478523,5.612510189414024,0.9423049688339233,0.9807882905006409,0.5642871856689453,0.6449130177497864,0.531730592250824,0.6325231194496155
1,4,1.0,1.0,4.755573272705078,5.31195068359375,5.080983832478523,5.612510189414024,0.9359549880027771,0.9464481472969055,0.5343915224075317,0.5773257613182068,0.5001664161682129,0.5464088916778564
1,5,1.0,1.0,4.6851487159729,5.52471399307251,5.080983832478523,5.612510189414024,0.9220945835113525,0.9843568801879883,0.5592877268791199,0.6180071830749512,0.5157161951065063,0.6083396077156067
1,6,0.96875,1.0,4.737208366394043,5.458967208862305,5.080983832478523,5.612510189414024,0.9323405027389526,0.9726425409317017,0.5643094778060913,0.6146796941757202,0.5261285901069641,0.5978636145591736
1,7,1.0,1.0,4.4567975997924805,5.623573303222656,5.080983832478523,5.612510189414024,0.8771522641181946,1.0019710063934326,0.5330499410629272,0.5838357210159302,0.46756595373153687,0.5849864482879639
1,8,1.0,1.0,5.354212284088135,5.434859752655029,5.080983832478523,5.612510189414024,1.0537744760513306,0.9683472514152527,0.5360497832298279,0.5833198428153992,0.564875602722168,0.5648561716079712
1,9,1.0,1.0,5.384679317474365,5.765748023986816,5.080983832478523,5.612510189414024,1.0597707033157349,1.0273027420043945,0.5767108798027039,0.6365119218826294,0.6111813187599182,0.6538904309272766
1,10,1.0,1.0,4.92291259765625,5.3206963539123535,5.080983832478523,5.612510189414024,0.9688894152641296,0.9480063915252686,0.5793008208274841,0.6468208432197571,0.5612784624099731,0.6131902933120728
1,11,1.0,1.0,4.725074291229248,5.329686164855957,5.080983832478523,5.612510189414024,0.9299523830413818,0.9496080875396729,0.5279699563980103,0.593640148639679,0.4909869134426117,0.563725471496582
1,12,1.0,1.0,5.02329158782959,5.837015628814697,5.080983832478523,5.612510189414024,0.9886451959609985,1.0400006771087646,0.5231636762619019,0.5962622165679932,0.5172232389450073,0.6201131343841553
1,13,1.0,1.0,5.2942914962768555,5.5782318115234375,5.080983832478523,5.612510189414024,1.0419813394546509,0.9938923120498657,0.5320916175842285,0.6144081354141235,0.5544295310974121,0.6106555461883545
1,14,1.0,1.0,4.405229091644287,5.274533271789551,5.080983832478523,5.612510189414024,0.8670029640197754,0.9397813081741333,0.5654019117355347,0.6078717112541199,0.49020513892173767,0.5712664723396301
1,15,1.0,1.0,5.061026573181152,5.626670837402344,5.080983832478523,5.612510189414024,0.9960719347000122,1.0025228261947632,0.5600805878639221,0.6349629163742065,0.5578805804252625,0.6365647912025452
1,16,1.0,1.0,4.790970325469971,5.490835189819336,5.080983832478523,5.612510189414024,0.94292151927948,0.9783205986022949,0.5436808466911316,0.623358428478241,0.512648344039917,0.6098443865776062
