epoch,global_step,l_re_ds,l_re_sd,l_rmd_ds,l_rmd_sd,l_rmd_total,weighted_rmd,total_loss
1,1,0.49287936091423035,0.5577915906906128,0.4943247437477112,0.5558955669403076,0.525110125541687,0.41992589831352234,3.7690839767456055
1,2,0.5956178307533264,0.6796503663063049,0.5621167421340942,0.6624864339828491,0.6123015880584717,0.4896521270275116,4.057905673980713
1,3,0.5310408473014832,0.6098900437355042,0.5521867275238037,0.6249732375144958,0.5885800123214722,0.47068217396736145,4.0181050300598145
1,4,0.5608508586883545,0.606550395488739,0.5773488879203796,0.6273330450057983,0.6023409366607666,0.48168668150901794,3.9863336086273193
1,5,0.5664095282554626,0.6033416986465454,0.5859285593032837,0.6387975811958313,0.6123631000518799,0.4897013008594513,4.128652095794678
1,6,0.5437486171722412,0.620319128036499,0.5281662344932556,0.6069387793540955,0.5675525069236755,0.4538666903972626,3.8701984882354736
1,7,0.5360255837440491,0.6039284467697144,0.5284565091133118,0.5909984707832336,0.5597274899482727,0.4476090669631958,3.7998757362365723
1,8,0.5847421884536743,0.6743664145469666,0.5946561694145203,0.6859979033470154,0.6403270363807678,0.5120638012886047,3.616936445236206
1,9,0.5528093576431274,0.59535151720047,0.5420456528663635,0.560145378112793,0.5510954856872559,0.44070613384246826,3.395923614501953
1,10,0.5684957504272461,0.647472083568573,0.5760613679885864,0.6538681387901306,0.6149647235870361,0.4917818009853363,4.169470310211182
1,11,0.5224699378013611,0.5922906994819641,0.489320307970047,0.5666602849960327,0.5279902815818787,0.4222291111946106,3.4448282718658447
1,12,0.598861038684845,0.6764140129089355,0.5986487865447998,0.6888291239738464,0.6437389850616455,0.5147923231124878,3.9156155586242676
1,13,0.5632383823394775,0.612820565700531,0.5402660369873047,0.5787415504455566,0.5595037937164307,0.44743019342422485,3.6501381397247314
1,14,0.6007983684539795,0.67745441198349,0.616176962852478,0.6854204535484314,0.6507986783981323,0.5204378962516785,4.03460693359375
1,15,0.6507109999656677,0.689121663570404,0.6710366606712341,0.698560893535614,0.6847987771034241,0.5476274490356445,3.8647000789642334
1,16,0.5845741629600525,0.6667927503585815,0.6195642352104187,0.6625274419784546,0.6410458087921143,0.5126386284828186,4.092132091522217
1,17,0.5656372308731079,0.6408912539482117,0.5745754837989807,0.6723113656044006,0.6234434247016907,0.49856215715408325,4.107661247253418
1,18,0.5534541606903076,0.5917447209358215,0.5573230385780334,0.6001874208450317,0.578755259513855,0.4628254175186157,3.574739456176758
1,19,0.5748950242996216,0.6289384365081787,0.576819658279419,0.6391032338142395,0.6079614162445068,0.4861813187599182,3.682760000228882
1,20,0.5834124684333801,0.6554076671600342,0.5673536658287048,0.6354027986526489,0.6013782024383545,0.4809167981147766,3.648951530456543
1,21,0.538443386554718,0.6193621754646301,0.5157289505004883,0.5973702669143677,0.556549608707428,0.44506776332855225,3.484215259552002
1,22,0.5927367210388184,0.6311241388320923,0.5791668891906738,0.6022682785987854,0.5907175540924072,0.4723915457725525,3.553633213043213
1,23,0.5415731072425842,0.601179838180542,0.5475068688392639,0.6081176996231079,0.5778123140335083,0.46207135915756226,3.7169413566589355
1,24,0.5276656746864319,0.5934405326843262,0.5140100717544556,0.583988606929779,0.5489993095397949,0.43902984261512756,3.8476099967956543
1,25,0.5577503442764282,0.6389756202697754,0.5606285333633423,0.6453726887702942,0.6030006408691406,0.4822142422199249,3.503938674926758
1,26,0.5635680556297302,0.6108146905899048,0.5547233819961548,0.6254397034645081,0.5900815725326538,0.47188296914100647,3.4984381198883057
1,27,0.5051140189170837,0.5683351159095764,0.4849414527416229,0.5718141794204712,0.5283778309822083,0.42253902554512024,3.8181045055389404
1,28,0.5265296697616577,0.6031128764152527,0.5400186777114868,0.6101998090744019,0.5751092433929443,0.45990973711013794,3.6182520389556885
1,29,0.5854962468147278,0.6636800169944763,0.6267712116241455,0.6960337162017822,0.6614024639129639,0.528917670249939,3.5464835166931152
1,30,0.5299533605575562,0.5804747343063354,0.5527781248092651,0.5852177739143372,0.5689979791641235,0.4550226032733917,3.5680480003356934
1,31,0.5572579503059387,0.638493001461029,0.558158278465271,0.6445695757865906,0.6013638973236084,0.48090535402297974,3.5603976249694824
1,32,0.6009662747383118,0.6855090260505676,0.5924940705299377,0.6597136855125427,0.6261038780212402,0.500689685344696,4.096481800079346
2,1183,0.22494852542877197,0.24495066702365875,0.10585681349039078,0.11060069501399994,0.10822875797748566,0.08654957264661789,0.20414087176322937
3,2365,0.19500717520713806,0.20622675120830536,0.06267651915550232,0.06848258525133133,0.06557954847812653,0.052443381398916245,0.14186231791973114
4,3547,0.19060437381267548,0.21551337838172913,0.0522097609937191,0.060882318764925,0.05654603987932205,0.04521936550736427,0.06441665440797806
5,4729,0.17251846194267273,0.20848973095417023,0.05112534761428833,0.04708248749375343,0.04910391569137573,0.03926796466112137,0.0494772270321846
6,5911,0.16600513458251953,0.19864143431186676,0.05555569753050804,0.062375470995903015,0.05896558612585068,0.047154251486063004,0.08498122543096542
7,7093,0.1678367704153061,0.1919523924589157,0.038336437195539474,0.033692944794893265,0.03601469099521637,0.02880062721669674,0.03766750544309616
8,8275,0.15178558230400085,0.16759124398231506,0.035552483052015305,0.03418552130460739,0.0348690003156662,0.027884429320693016,0.03837526589632034
9,9457,0.16011641919612885,0.21679642796516418,0.03022580035030842,0.03987579047679901,0.03505079448223114,0.028029806911945343,0.03686454892158508
10,10639,0.170059934258461,0.18822772800922394,0.04411718621850014,0.05082547664642334,0.04747132956981659,0.037962399423122406,0.04870139807462692
