epoch,global_step,l_re_ds,l_re_sd,l_rmd_ds,l_rmd_sd,l_rmd_total,weighted_rmd,total_loss
1,1,0.5117367506027222,0.5765961408615112,0.5142990946769714,0.5700052380561829,0.5421521663665771,0.44713538885116577,3.7668282985687256
1,2,0.6063634753227234,0.6901659369468689,0.5398345589637756,0.655142605304718,0.5974885821342468,0.4927736222743988,4.054500579833984
1,3,0.5101538300514221,0.5885190367698669,0.5571250915527344,0.6200780272483826,0.5886015892028809,0.48544415831565857,4.080755710601807
1,4,0.5721127390861511,0.6205586791038513,0.6078557968139648,0.660768985748291,0.6343123912811279,0.5231437683105469,4.006401062011719
1,5,0.570246696472168,0.6059057116508484,0.606007993221283,0.6774834394454956,0.6417456865310669,0.5292742848396301,4.168132781982422
1,6,0.5395554900169373,0.6201604008674622,0.5072109699249268,0.5874857902526855,0.5473483800888062,0.4514209032058716,3.8522658348083496
1,7,0.529543399810791,0.596831202507019,0.5108120441436768,0.5714981555938721,0.5411550998687744,0.4463130533695221,3.796748399734497
1,8,0.5696117281913757,0.6568793654441833,0.597362756729126,0.6854943037033081,0.641428530216217,0.5290127396583557,3.7344202995300293
1,9,0.5459832549095154,0.5869490504264832,0.5256890058517456,0.5181933045387268,0.5219411849975586,0.43046653270721436,3.3798370361328125
1,10,0.5542093515396118,0.6305631995201111,0.5642621517181396,0.6445099711418152,0.6043860912322998,0.4984622895717621,4.152023792266846
1,11,0.523444652557373,0.5919556617736816,0.45864173769950867,0.5397131443023682,0.4991774559020996,0.411692351102829,3.4113428592681885
1,12,0.6008203029632568,0.677600085735321,0.6064693331718445,0.7042505145072937,0.6553599238395691,0.5405024886131287,3.935150146484375
1,13,0.5651042461395264,0.6140876412391663,0.5149208307266235,0.5443686246871948,0.5296447277069092,0.43681997060775757,3.5778188705444336
1,14,0.6024615168571472,0.6754975914955139,0.6270976662635803,0.6911367774009705,0.6591172218322754,0.5436013340950012,3.9811456203460693
1,15,0.6321243643760681,0.6698060035705566,0.6748576164245605,0.6930239200592041,0.6839407682418823,0.5640743374824524,3.8927853107452393
1,16,0.584406852722168,0.6642240881919861,0.6593267917633057,0.6570359468460083,0.658181369304657,0.5428294539451599,4.165221691131592
1,17,0.563140332698822,0.6392362117767334,0.571508526802063,0.7014060616493225,0.6364573240280151,0.5249127745628357,4.07656192779541
1,18,0.5491020679473877,0.5884929895401001,0.5565041899681091,0.6068240404129028,0.5816640853881836,0.4797224998474121,3.6113297939300537
1,19,0.5693544149398804,0.6227014660835266,0.5709372162818909,0.6386992931365967,0.6048182249069214,0.49881866574287415,3.640817403793335
1,20,0.5779308676719666,0.6510065197944641,0.5440102219581604,0.6085290908813477,0.5762696266174316,0.475273460149765,3.6184604167938232
1,21,0.5166867971420288,0.5956614017486572,0.47209829092025757,0.5515714287757874,0.5118348598480225,0.4221314489841461,3.4394938945770264
1,22,0.5778614282608032,0.6164111495018005,0.5469667315483093,0.5582144260406494,0.5525906085968018,0.4557443857192993,3.4689531326293945
1,23,0.5371402502059937,0.5986403226852417,0.5485193133354187,0.6100121736526489,0.5792657136917114,0.477744460105896,3.633939266204834
1,24,0.5276613831520081,0.5940266251564026,0.5001357793807983,0.5771165490150452,0.5386261940002441,0.4442273676395416,3.8498921394348145
1,25,0.5518378019332886,0.630858302116394,0.5612525939941406,0.6463578939437866,0.6038052439689636,0.49798324704170227,3.536339521408081
1,26,0.5900453329086304,0.6396921873092651,0.573541522026062,0.6698520183563232,0.6216967701911926,0.5127391219139099,3.5423500537872314
1,27,0.5069463849067688,0.5707885026931763,0.46631795167922974,0.5750544667243958,0.5206862092018127,0.4294315278530121,3.7833831310272217
1,28,0.5417953133583069,0.623115599155426,0.5726540684700012,0.642433762550354,0.6075439453125,0.5010666847229004,3.7071728706359863
1,29,0.5627322793006897,0.6357895731925964,0.6488702297210693,0.700916051864624,0.6748931407928467,0.5566123723983765,3.6217660903930664
1,30,0.5347695350646973,0.585768461227417,0.5804292559623718,0.5935219526290894,0.5869755744934082,0.48410311341285706,3.578782558441162
1,31,0.5642331838607788,0.6468316316604614,0.5647086501121521,0.6556666493415833,0.6101876497268677,0.503247082233429,3.5702168941497803
1,32,0.5956951379776001,0.6800907850265503,0.5789724588394165,0.6303979158401489,0.6046851873397827,0.49870896339416504,4.099823951721191
2,1183,0.24442936480045319,0.26329752802848816,0.05375989153981209,0.05172697827219963,0.05274343490600586,0.043499696999788284,0.16586971282958984
3,2365,0.21543601155281067,0.23357495665550232,0.0237970482558012,0.02750798501074314,0.02565251663327217,0.02115669474005699,0.09403280913829803
4,3547,0.21077117323875427,0.2425646036863327,0.01721048541367054,0.0191666092723608,0.01818854734301567,0.015000849962234497,0.02801666036248207
5,4729,0.20267772674560547,0.2491355538368225,0.018910573795437813,0.015434009954333305,0.01717229187488556,0.014162701554596424,0.027045292779803276
6,5911,0.19581423699855804,0.24040885269641876,0.021848872303962708,0.022931665182113647,0.022390268743038177,0.01846618391573429,0.0502987802028656
7,7093,0.20694735646247864,0.23613351583480835,0.013144033029675484,0.01134064793586731,0.012242340482771397,0.01009676605463028,0.01918010413646698
8,8275,0.18366850912570953,0.1985272318124771,0.011822578497231007,0.007125011179596186,0.00947379507124424,0.00781343225389719,0.01749598979949951
9,9457,0.18359193205833435,0.2512449622154236,0.007883799262344837,0.00990819837898016,0.008895998820662498,0.007336899172514677,0.01657232455909252
10,10639,0.20603884756565094,0.21733520925045013,0.013812505640089512,0.014643970876932144,0.01422823779284954,0.011734617874026299,0.022455666214227676
